Time,Voltage (mV)
0.004931926727294922,-2710.00
0.010138511657714844,-2709.00
0.015361547470092773,-2721.00
0.02060079574584961,-2722.00
0.025816679000854492,-2715.33
0.03103923797607422,-2703.67
0.03625345230102539,-2670.67
0.04154515266418457,-2663.00
0.0467531681060791,-2691.00
0.05196785926818848,-2683.67
0.0571744441986084,-2675.33
0.062389373779296875,-2717.00
0.0676259994506836,-2717.33
0.07283473014831543,-2713.67
0.07805013656616211,-2657.67
0.08326578140258789,-2689.67
0.08853960037231445,-2708.67
0.0937497615814209,-2716.67
0.09896254539489746,-2687.00
0.10417366027832031,-2709.00
0.1093893051147461,-2706.00
0.1146852970123291,-2659.67
0.11982488632202148,-2693.33
0.12503576278686523,-2686.33
0.13025164604187012,-2696.00
0.1355290412902832,-2712.67
0.14074158668518066,-2713.00
0.14594125747680664,-2697.67
0.15116047859191895,-2665.33
0.15638113021850586,-2717.33
0.16161870956420898,-2692.67
0.16683244705200195,-2715.67
0.17204833030700684,-2704.33
0.17727088928222656,-2699.33
0.18253850936889648,-2717.00
0.18775725364685059,-2718.67
0.19298100471496582,-2726.67
0.19819068908691406,-2634.33
0.20339655876159668,-2688.00
0.20861506462097168,-2724.00
0.21383070945739746,-2720.00
0.21904444694519043,-2688.00
0.2242574691772461,-2717.67
0.2295384407043457,-2743.33
0.23474669456481934,-2715.00
0.23996543884277344,-2683.33
0.24516987800598145,-2705.33
0.2504005432128906,-2699.33
0.2556302547454834,-2721.33
0.26082491874694824,-2712.00
0.2660529613494873,-2713.67
0.27126574516296387,-2691.00
0.2765390872955322,-2712.33
0.28174686431884766,-2714.00
0.2869577407836914,-2673.67
0.29216885566711426,-2692.00
0.2973918914794922,-2716.00
0.30260801315307617,-2693.00
0.30782461166381836,-2722.00
0.3130464553833008,-2714.33
0.3182640075683594,-2684.67
0.32353925704956055,-2724.00
0.3287477493286133,-2687.00
0.33396291732788086,-2652.33
0.3391714096069336,-2733.67
0.34438467025756836,-2667.00
0.3496103286743164,-2682.33
0.354830265045166,-2654.33
0.360076904296875,-2736.33
0.36525511741638184,-2687.00
0.370532751083374,-2691.33
0.37573933601379395,-2698.00
0.38096046447753906,-2703.67
0.38617539405822754,-2695.67
0.3913900852203369,-2674.00
0.3966083526611328,-2710.00
0.40183210372924805,-2704.67
0.4070475101470947,-2691.00
0.4122593402862549,-2678.67
0.4175405502319336,-2718.67
0.4227478504180908,-2700.00
0.42795753479003906,-2690.67
0.43317675590515137,-2673.67
0.43839216232299805,-2711.33
0.4436373710632324,-2711.67
0.4488372802734375,-2695.00
0.45404481887817383,-2690.67
0.4592607021331787,-2701.67
0.4645400047302246,-2672.33
0.4697532653808594,-2682.67
0.47496819496154785,-2680.67
0.480177640914917,-2711.67
0.48538947105407715,-2715.00
0.49060797691345215,-2694.00
0.4958326816558838,-2679.67
0.501039981842041,-2704.00
0.5062661170959473,-2687.33
0.511540412902832,-2688.00
0.5167548656463623,-2683.67
0.521967887878418,-2714.67
0.5271773338317871,-2708.33
0.5323915481567383,-2677.00
0.5376129150390625,-2701.00
0.542832612991333,-2713.00
0.5480449199676514,-2701.00
0.553260087966919,-2702.33
0.5585391521453857,-2664.00
0.5637555122375488,-2742.00
0.5689694881439209,-2679.67
0.5741753578186035,-2692.67
0.5793895721435547,-2663.33
0.5846295356750488,-2696.67
0.5898377895355225,-2685.67
0.5950524806976318,-2697.67
0.6002657413482666,-2689.00
0.6055445671081543,-2705.33
0.610767126083374,-2702.67
0.6159751415252686,-2703.00
0.62119460105896,-2680.33
0.6264152526855469,-2719.67
0.6316304206848145,-2709.00
0.6368510723114014,-2696.33
0.6420760154724121,-2664.33
0.6472964286804199,-2656.67
0.6525473594665527,-2697.33
0.6577651500701904,-2703.67
0.6629753112792969,-2672.00
0.668189287185669,-2676.67
0.6734070777893066,-2687.67
0.6786308288574219,-2698.33
0.6838436126708984,-2705.67
0.6890702247619629,-2677.67
0.6942853927612305,-2677.33
0.699547529220581,-2712.67
0.7047669887542725,-2685.67
0.7099754810333252,-2702.00
0.7151961326599121,-2704.67
0.7204091548919678,-2694.00
0.7256298065185547,-2673.00
0.7308447360992432,-2671.33
0.7360713481903076,-2670.67
0.7412941455841064,-2677.67
0.7465498447418213,-2683.67
0.751760721206665,-2721.00
0.7569844722747803,-2700.33
0.7622108459472656,-2685.00
0.7674267292022705,-2688.33
0.7726480960845947,-2682.00
0.7778704166412354,-2672.33
0.7830889225006104,-2692.33
0.7883083820343018,-2699.67
0.7935845851898193,-2694.00
0.7988178730010986,-2702.33
0.8040363788604736,-2688.67
0.8092432022094727,-2700.00
0.8145108222961426,-2666.67
0.8196811676025391,-2689.00
0.824901819229126,-2675.33
0.8301150798797607,-2671.67
0.8353347778320312,-2702.00
0.8406035900115967,-2743.33
0.8458151817321777,-2685.33
0.8510363101959229,-2677.67
0.856243371963501,-2705.00
0.8615124225616455,-2691.33
0.8666718006134033,-2685.00
0.8718814849853516,-2685.00
0.8770887851715088,-2707.00
0.8823127746582031,-2703.67
0.887578010559082,-2695.33
0.8927924633026123,-2694.67
0.8980038166046143,-2697.67
0.9032368659973145,-2662.33
0.9084455966949463,-2669.00
0.9136605262756348,-2708.67
0.9188742637634277,-2682.67
0.9240903854370117,-2665.00
0.9292964935302734,-2705.00
0.9345505237579346,-2676.67
0.9397647380828857,-2714.00
0.9449770450592041,-2699.00
0.9502005577087402,-2703.00
0.9554100036621094,-2687.00
0.9606320858001709,-2690.00
0.9658441543579102,-2690.33
0.9710590839385986,-2704.00
0.9762730598449707,-2662.00
0.981548547744751,-2673.67
0.9867713451385498,-2705.33
0.9919757843017578,-2692.33
0.9972002506256104,-2693.67
1.0024034976959229,-2692.00
1.0076305866241455,-2690.00
1.012833595275879,-2714.33
1.018045425415039,-2679.33
1.023270845413208,-2689.00
1.0285396575927734,-2686.67
1.0337576866149902,-2696.33
1.0389761924743652,-2701.33
1.0441949367523193,-2714.33
1.049414873123169,-2664.67
1.0546371936798096,-2673.67
1.0598440170288086,-2684.00
1.0650722980499268,-2679.33
1.0702846050262451,-2672.00
1.075545310974121,-2714.00
1.0807709693908691,-2704.67
1.0859835147857666,-2684.33
1.0912020206451416,-2696.67
1.0964207649230957,-2678.67
1.1016485691070557,-2692.00
1.1068716049194336,-2647.33
1.1120762825012207,-2691.00
1.1172971725463867,-2694.67
1.1225512027740479,-2675.33
1.1277685165405273,-2674.67
1.1329748630523682,-2664.67
1.1381890773773193,-2687.00
1.1433982849121094,-2706.00
1.1486310958862305,-2695.33
1.1538283824920654,-2687.33
1.1590518951416016,-2682.00
1.1642670631408691,-2688.67
1.1695468425750732,-2664.00
1.174755573272705,-2677.33
1.1799712181091309,-2702.67
1.1851780414581299,-2695.33
1.1904006004333496,-2645.33
1.195631980895996,-2677.67
1.2008461952209473,-2697.33
1.2060716152191162,-2717.67
1.2112925052642822,-2695.33
1.2165510654449463,-2714.33
1.2217626571655273,-2739.00
1.2269775867462158,-2682.67
1.2321906089782715,-2691.00
1.237405776977539,-2723.00
1.242631435394287,-2703.67
1.2478337287902832,-2722.67
1.2530488967895508,-2698.00
1.258270263671875,-2718.33
1.263615369796753,-2695.00
1.2687501907348633,-2689.00
1.2739641666412354,-2687.33
1.2791743278503418,-2689.00
1.284393548965454,-2691.00
1.289616584777832,-2716.67
1.2948346138000488,-2710.00
1.3000426292419434,-2691.00
1.3052551746368408,-2702.33
1.3105411529541016,-2684.67
1.3157505989074707,-2670.00
1.3209702968597412,-2659.67
1.3261890411376953,-2672.67
1.3314051628112793,-2638.67
1.3366305828094482,-2630.67
1.3418524265289307,-2643.67
1.3470795154571533,-2622.33
1.3522989749908447,-2631.33
1.3575773239135742,-2591.00
1.3627936840057373,-2580.33
1.3680074214935303,-2580.33
1.3732330799102783,-2556.33
1.3784465789794922,-2560.33
1.3836734294891357,-2575.33
1.3889145851135254,-2541.67
1.3941090106964111,-2553.33
1.3993237018585205,-2566.67
1.4046061038970947,-2562.33
1.409815788269043,-2566.33
1.4150371551513672,-2549.33
1.4202594757080078,-2573.33
1.4255423545837402,-2607.33
1.4307525157928467,-2578.67
1.4359714984893799,-2575.67
1.4411911964416504,-2513.33
1.4464006423950195,-2544.00
1.4516375064849854,-2569.67
1.4568288326263428,-2540.00
1.4620475769042969,-2541.67
1.4672629833221436,-2531.00
1.4725425243377686,-2506.33
1.477750539779663,-2476.00
1.482973337173462,-2501.67
1.4881865978240967,-2495.00
1.4934003353118896,-2462.67
1.498633623123169,-2436.00
1.5038361549377441,-2483.00
1.5090489387512207,-2443.67
1.514270544052124,-2438.33
1.5195438861846924,-2444.33
1.5247514247894287,-2391.67
