Time,Voltage (mV)
0.004021406173706055,-3128.00
0.009250879287719727,-3118.33
0.014460325241088867,-3128.00
0.019669771194458008,-3119.00
0.024889707565307617,-3143.33
0.030165433883666992,-3112.00
0.03537583351135254,-3129.67
0.040601491928100586,-3106.67
0.0458226203918457,-3124.33
0.05104184150695801,-3120.67
0.05626225471496582,-3111.33
0.0614771842956543,-3112.67
0.06669759750366211,-3102.67
0.07192301750183105,-3118.33
0.07720565795898438,-3075.00
0.08242297172546387,-3108.33
0.08764457702636719,-3086.67
0.09285616874694824,-3126.00
0.0980677604675293,-3112.00
0.10329627990722656,-3124.67
0.1085054874420166,-3117.00
0.11371612548828125,-3103.00
0.11893105506896973,-3113.33
0.12422752380371094,-3115.00
0.1294419765472412,-3138.00
0.13468217849731445,-3136.67
0.13986873626708984,-3115.67
0.14515924453735352,-3091.67
0.15037298202514648,-3104.00
0.15559077262878418,-3111.67
0.16080594062805176,-3130.33
0.16602063179016113,-3123.00
0.171250581741333,-3113.00
0.17645955085754395,-3127.67
0.18167972564697266,-3114.67
0.18689680099487305,-3125.67
0.1921679973602295,-3132.33
0.19739341735839844,-3123.67
0.20260834693908691,-3154.00
0.20782852172851562,-3115.67
0.213043212890625,-3102.00
0.21828007698059082,-3121.67
0.22349190711975098,-3118.33
0.2287120819091797,-3105.33
0.23393893241882324,-3114.33
0.23923110961914062,-3120.67
0.24445128440856934,-3086.33
0.24965238571166992,-3126.00
0.2548708915710449,-3117.00
0.26013970375061035,-3106.00
0.2653167247772217,-3119.33
0.27054452896118164,-3128.33
0.2757573127746582,-3107.00
0.28096961975097656,-3150.00
0.28624486923217773,-3123.00
0.2914433479309082,-3112.67
0.2966630458831787,-3103.67
0.3018839359283447,-3131.67
0.307140588760376,-3120.00
0.31230759620666504,-3124.33
0.31752777099609375,-3112.33
0.3227574825286865,-3133.33
0.32797980308532715,-3090.33
0.33322930335998535,-3121.67
0.3384518623352051,-3119.33
0.3436620235443115,-3128.00
0.3488786220550537,-3144.67
0.3541676998138428,-3120.67
0.3593728542327881,-3111.00
0.36458897590637207,-3129.00
0.36980509757995605,-3128.00
0.3750133514404297,-3111.67
0.38022851943969727,-3118.00
0.385448694229126,-3134.00
0.3906688690185547,-3136.33
0.39589548110961914,-3118.33
0.4011697769165039,-3120.00
0.40637803077697754,-3124.67
0.411592960357666,-3129.00
0.4168086051940918,-3112.67
0.42202115058898926,-3130.33
0.4272587299346924,-3122.33
0.43247222900390625,-3124.67
0.4376962184906006,-3119.33
0.44290924072265625,-3094.67
0.4481782913208008,-3131.00
0.45339059829711914,-3108.33
0.458606481552124,-3108.67
0.4638190269470215,-3130.00
0.46903300285339355,-3127.33
0.47425413131713867,-3137.00
0.47946810722351074,-3112.00
0.48469042778015137,-3113.67
0.48992252349853516,-3093.33
0.49517822265625,-3110.67
0.5004053115844727,-3105.33
0.5056173801422119,-3108.00
0.5108287334442139,-3122.00
0.516038179397583,-3126.00
0.5212645530700684,-3123.33
0.5264801979064941,-3115.00
0.5317127704620361,-3115.33
0.5369291305541992,-3118.33
0.5422070026397705,-3117.00
0.5474333763122559,-3106.33
0.552654504776001,-3100.33
0.5578815937042236,-3116.67
0.5631697177886963,-3121.33
0.5683791637420654,-3095.33
0.5735979080200195,-3107.67
0.5788064002990723,-3102.00
0.5840244293212891,-3117.67
0.5892627239227295,-3116.67
0.5944819450378418,-3114.67
0.5997076034545898,-3105.33
0.6049151420593262,-3112.33
0.6101784706115723,-3116.33
0.6154119968414307,-3119.33
0.6206264495849609,-3125.67
0.6258456707000732,-3120.67
0.6310629844665527,-3118.33
0.6362819671630859,-3120.00
0.641495943069458,-3116.00
0.6467211246490479,-3129.67
0.6519405841827393,-3123.33
0.657231330871582,-3104.67
