Time,Voltage (mV)
0.0005948543548583984,-2974.00
0.0058116912841796875,-3017.33
0.011049985885620117,-2998.67
0.016278743743896484,-2975.67
0.021489620208740234,-3024.00
0.026709794998168945,-3000.33
0.03199887275695801,-2975.00
0.037218332290649414,-3003.67
0.04243803024291992,-2973.00
0.04765439033508301,-2965.00
0.05293703079223633,-2983.67
0.05814766883850098,-2989.00
0.06336212158203125,-2973.67
0.06858086585998535,-2968.33
0.07379913330078125,-2997.67
0.07902741432189941,-2973.67
0.08424091339111328,-3000.67
0.08946895599365234,-3000.67
0.09467697143554688,-2989.00
0.09996843338012695,-2972.00
0.10517263412475586,-2969.67
0.11036872863769531,-2987.00
0.11559081077575684,-2994.00
0.12081170082092285,-2997.33
0.12603068351745605,-2976.33
0.13124561309814453,-2968.67
0.13646364212036133,-2987.00
0.14168262481689453,-2978.00
0.14694428443908691,-2987.67
0.15216851234436035,-2983.33
0.1573803424835205,-3007.33
0.1625959873199463,-2988.67
0.16780614852905273,-3005.67
0.17302775382995605,-2998.33
0.17824459075927734,-2968.67
0.18347406387329102,-2987.00
0.18867802619934082,-2971.67
0.1939408779144287,-3004.67
0.1991584300994873,-3004.33
0.20437955856323242,-2987.67
0.20958733558654785,-2991.00
0.2148137092590332,-2978.00
0.2200305461883545,-2997.33
0.22523999214172363,-2962.33
0.23048615455627441,-2960.33
0.23569178581237793,-2970.33
0.2409839630126953,-2969.67
0.24618816375732422,-2971.00
0.2514059543609619,-2969.67
0.25662803649902344,-2970.67
0.2618424892425537,-2966.33
0.26706671714782715,-2989.67
0.27228355407714844,-2969.33
0.27750253677368164,-2986.33
0.28272223472595215,-2961.33
0.28799915313720703,-2994.33
0.293210506439209,-2984.00
0.2984316349029541,-2992.33
0.30364513397216797,-2982.33
0.30893683433532715,-2978.33
0.31415390968322754,-2976.00
0.31937074661254883,-2995.67
0.3245859146118164,-2971.67
0.3298017978668213,-2971.00
0.33502745628356934,-2978.00
0.3402383327484131,-2980.00
0.3454556465148926,-2971.67
0.35066819190979004,-2958.00
0.3559427261352539,-2977.00
0.3611576557159424,-2956.00
0.3663773536682129,-2988.67
0.3715991973876953,-2970.67
0.37682032585144043,-2960.33
0.3820383548736572,-2971.00
0.38726115226745605,-2967.67
0.3924741744995117,-2961.33
0.3976869583129883,-2999.33
0.4029717445373535,-2980.67
0.4081864356994629,-2981.00
0.4134085178375244,-2960.33
0.41863369941711426,-2984.67
0.4239063262939453,-2976.00
0.42907023429870605,-2975.00
0.43428468704223633,-2968.33
0.43950510025024414,-2973.67
0.444720983505249,-2973.00
0.4500081539154053,-2987.67
0.4552114009857178,-2992.00
0.460437536239624,-2983.67
0.4656548500061035,-2987.67
0.4709334373474121,-2962.00
0.4761497974395752,-2986.33
0.4813718795776367,-2983.67
0.4865894317626953,-2966.33
0.4918026924133301,-2966.33
0.49702978134155273,-2984.33
0.5022387504577637,-2978.00
0.5074660778045654,-2987.67
0.5126843452453613,-2981.67
0.5179450511932373,-2981.33
0.5231645107269287,-3001.67
0.5283749103546143,-3013.00
0.5335845947265625,-2964.33
0.538799524307251,-2975.67
0.5440280437469482,-2997.00
0.5492458343505859,-2970.67
0.5544636249542236,-2974.00
0.5596837997436523,-2975.67
0.5649440288543701,-2980.33
0.5701601505279541,-2979.00
0.5753676891326904,-2984.67
0.580589771270752,-2983.33
0.5857968330383301,-2974.00
0.5910289287567139,-2989.00
0.5962426662445068,-2995.33
0.6014559268951416,-2971.67
0.6066808700561523,-2979.33
0.6119434833526611,-2964.33
0.6171643733978271,-2988.67
0.6223859786987305,-2972.67
0.6275942325592041,-2975.00
0.632798433303833,-2974.00
0.6380250453948975,-2975.00
0.6432332992553711,-2987.33
0.648463249206543,-2975.33
0.6536948680877686,-2976.67
0.6589677333831787,-2981.33
0.6641910076141357,-2981.33
0.6694104671478271,-2968.67
0.6746351718902588,-2968.67
0.6799099445343018,-2979.00
0.6850693225860596,-2981.33
0.690284013748169,-2960.00
0.6954991817474365,-2969.67
0.7007102966308594,-2993.33
0.7059974670410156,-2989.67
0.711207389831543,-2981.00
0.7164380550384521,-2984.33
0.7216434478759766,-2968.67
0.726938009262085,-2994.00
0.7321429252624512,-2957.67
0.7373578548431396,-2974.00
0.7425761222839355,-2995.33
0.7478046417236328,-2975.33
0.7530248165130615,-2973.33
0.7582433223724365,-2969.67
0.7634694576263428,-2977.33
0.7686784267425537,-3003.67
0.7739520072937012,-2968.67
0.7791650295257568,-2972.67
0.7843854427337646,-2977.00
0.7896020412445068,-2965.00
0.7948145866394043,-2969.67
0.800048828125,-2977.33
0.8052608966827393,-3002.33
0.8104796409606934,-2986.67
0.8156964778900146,-2972.33
0.8209710121154785,-2975.33
0.8261904716491699,-2980.67
0.8314089775085449,-2969.67
0.83664870262146,-2964.33
0.8419082164764404,-2991.67
0.8470778465270996,-2980.33
0.8522982597351074,-2968.67
0.8575172424316406,-2975.00
0.8627240657806396,-2980.00
0.8680057525634766,-2990.00
0.8732118606567383,-2957.00
0.8784315586090088,-2974.00
0.8836536407470703,-2971.67
0.8889400959014893,-2973.00
0.8941526412963867,-2937.67
0.899376630783081,-2984.67
0.9045910835266113,-2977.33
0.9098057746887207,-2976.00
0.9150288105010986,-2980.33
0.9202373027801514,-2994.33
0.9254662990570068,-2973.67
0.9306774139404297,-2964.33
0.9359447956085205,-3007.67
0.9411642551422119,-2980.33
0.9463729858398438,-2973.00
0.9515891075134277,-2980.00
0.9568018913269043,-2982.33
0.9620296955108643,-2980.33
0.9672374725341797,-2987.33
0.9724645614624023,-2974.00
0.9776790142059326,-2968.67
0.9829387664794922,-2976.67
0.9881484508514404,-2969.33
0.9933624267578125,-2964.33
0.9985830783843994,-2954.67
1.003796100616455,-2964.67
1.009004831314087,-2982.33
1.0142300128936768,-2973.00
1.0194423198699951,-2989.00
1.0246531963348389,-2956.67
1.029937982559204,-2975.00
1.0351464748382568,-2976.00
1.0403673648834229,-2973.00
1.045586347579956,-2949.33
1.0508010387420654,-2972.00
1.0560095310211182,-2995.67
1.0612354278564453,-2994.33
1.066455364227295,-2962.33
1.0716814994812012,-2983.33
1.076946496963501,-2980.67
1.0821590423583984,-2972.00
1.0873737335205078,-2967.67
1.0925953388214111,-2952.33
1.0978028774261475,-2956.00
1.1030287742614746,-2966.33
1.1082422733306885,-2963.33
1.1134684085845947,-2967.33
1.118683099746704,-2979.33
1.1239428520202637,-2969.67
1.1291673183441162,-2971.67
1.1343820095062256,-2983.33
1.139594316482544,-2970.33
1.1448023319244385,-2978.00
1.1500279903411865,-2964.00
1.1552412509918213,-2967.67
1.160459041595459,-2997.00
1.1656773090362549,-2997.33
1.1709442138671875,-2988.67
1.176166296005249,-2987.67
1.181380271911621,-2967.67
1.186600923538208,-2966.33
1.1918110847473145,-2990.00
1.1970300674438477,-3001.00
1.2022483348846436,-2955.67
1.2074759006500244,-2992.00
1.212677240371704,-2973.00
1.217944860458374,-2972.67
1.22316575050354,-2975.00
1.2283666133880615,-2975.00
1.2335896492004395,-2991.33
1.2387986183166504,-2996.00
1.2440204620361328,-2957.33
1.2492361068725586,-2973.00
1.2544634342193604,-2969.67
1.259676456451416,-2944.33
1.2649385929107666,-2986.67
1.2701499462127686,-2985.67
1.2753610610961914,-2987.67
1.2805795669555664,-2973.67
1.2857937812805176,-2978.33
1.291036605834961,-2997.33
1.2962532043457031,-2995.33
1.3014791011810303,-2992.67
1.3066985607147217,-2981.33
1.311976432800293,-3002.00
1.317195177078247,-2995.33
1.322411298751831,-2999.67
1.3276355266571045,-2986.67
1.3329102993011475,-2992.67
1.3380792140960693,-2986.67
1.34330415725708,-3015.67
1.3485262393951416,-2987.33
1.3537280559539795,-2983.67
1.3590028285980225,-2986.00
1.3642170429229736,-2964.00
1.369438886642456,-2980.00
1.3746511936187744,-2971.00
1.379941463470459,-2995.33
1.3851497173309326,-3000.00
1.3903658390045166,-2972.00
1.39559006690979,-3004.67
1.4007978439331055,-2987.00
1.4060068130493164,-2984.33
1.4112350940704346,-2982.33
1.416461706161499,-2978.00
1.4216876029968262,-2950.67
1.426950216293335,-2981.33
1.4321627616882324,-2994.00
1.4373774528503418,-2964.33
1.4425914287567139,-3005.00
1.4478044509887695,-2981.33
1.4530301094055176,-2967.67
1.4582557678222656,-2972.67
1.4634795188903809,-2975.00
1.468672513961792,-2977.00
1.4739384651184082,-2984.67
1.4791584014892578,-2967.67
1.4843754768371582,-2962.67
1.4895904064178467,-2965.67
1.4948148727416992,-2978.00
1.500053882598877,-2975.00
1.5052621364593506,-2975.00
1.5104827880859375,-2971.67
1.515690803527832,-2994.00
1.5209746360778809,-2987.67
1.5261895656585693,-2996.00
1.5314109325408936,-2975.00
1.5366363525390625,-2983.67
1.541907548904419,-2983.00
1.5470731258392334,-2982.33
1.5522797107696533,-2975.00
1.5574936866760254,-2970.00
1.5627222061157227,-2972.67
1.568002462387085,-2958.33
1.5732181072235107,-2961.00
1.5784344673156738,-2982.67
1.5836584568023682,-2939.00
1.5889146327972412,-2960.00
1.5940783023834229,-2985.33
1.5992960929870605,-2992.00
1.6045150756835938,-2990.67
1.609731912612915,-2990.00
1.6150026321411133,-2992.00
1.6202197074890137,-2983.33
1.625438928604126,-2978.33
1.6306483745574951,-2985.00
1.635941982269287,-2987.67
1.6411535739898682,-2967.67
1.646367073059082,-2996.33
1.6515822410583496,-2969.00
1.6567943096160889,-2975.00
1.6620326042175293,-2995.00
1.6672308444976807,-2994.00
1.6724483966827393,-2987.00
1.6776719093322754,-2983.67
1.6829438209533691,-2969.67
1.6881492137908936,-2996.67
1.693376064300537,-2989.67
1.698585033416748,-2986.00
1.7038004398345947,-2985.33
1.7090332508087158,-2999.67
1.7142343521118164,-2996.00
1.7194571495056152,-2985.67
1.7246627807617188,-2988.33
1.7299525737762451,-2985.67
1.7351677417755127,-2974.00
1.7403860092163086,-2963.67
1.7456066608428955,-2969.33
