time,ft_data,fsr_data
1740272714.311543,2.0466011460684777,0.0
1740272714.3448427,1.5219993621962482,0.0
1740272714.3815281,2.7385934129615084,0.0
1740272714.4149413,3.3427964125181147,0.0
1740272714.4471805,3.808428492350869,0.0
1740272714.484144,2.1595960209904694,0.0
1740272714.5173333,1.4831712887236206,0.0
1740272714.5537121,1.365520700462935,0.0
1740272714.5870554,1.4638905923152992,0.0
1740272714.6192164,2.8201654386482233,0.0
1740272714.6546543,2.415923194585538,0.0
1740272714.688778,1.8464773618362553,0.0
1740272714.721378,2.30262010272235,0.0
1740272714.758565,5.958105180086932,0.0
1740272714.791399,5.776568408083089,0.0
1740272714.8278341,2.740056753311759,0.0
1740272714.8606603,1.9618128440355314,0.0
1740272714.8936207,2.0881764671819427,0.0
1740272714.9296255,2.570365433819646,0.0
1740272714.9632754,3.1318128625441766,0.0
1740272714.9951785,1.933244564996683,0.0
1740272715.032842,2.24486389552219,0.0
1740272715.0661924,3.013959565470457,0.0
1740272715.098939,2.9758076271336313,0.0
1740272715.1354778,2.2727164710666057,0.0
1740272715.1682174,1.900324237502655,0.0
1740272715.2004802,2.1145256595617874,0.0
1740272715.2370923,2.1885521471912557,0.0
1740272715.2704024,1.841250641969334,0.0
1740272715.3035474,2.151608365875294,0.0
1740272715.339926,3.056170975997898,0.0
1740272715.372554,2.3996052324816497,0.0
1740272715.4091625,4.657168434237041,0.0
1740272715.4419532,4.555544698766452,0.0
1740272715.475004,5.1122927696022105,0.0
1740272715.5114565,2.2428257522062447,0.0
1740272715.5450943,2.002527194658091,0.0
1740272715.5777636,2.0684002942565893,0.0
1740272715.614688,3.593575110981372,0.0
1740272715.6472175,3.6067238906506915,0.0
1740272715.6836534,3.961863591726089,0.0
1740272715.7163265,3.457229947762302,0.0
1740272715.7491622,4.71028836564902,0.0
1740272715.7863762,1.381600789672203,0.0
1740272715.818994,1.32754232089582,0.0
1740272715.8533847,2.535003468183706,0.0
1740272715.889155,3.1357206962078816,0.0
1740272715.9216075,3.2576402450225883,0.0
1740272715.9579456,3.709869983310436,0.0
1740272715.991237,2.9614961141090554,0.0
1740272716.0240805,3.436044814464439,0.0
1740272716.0610461,1.2155176055342902,0.0
1740272716.0936253,1.004021243217455,0.0
1740272716.126389,3.243683405026824,0.0
1740272716.1632915,3.7931328784889646,0.0
1740272716.1964333,4.875911958381192,0.0
1740272716.2293446,3.525661612771121,0.0
1740272716.2657664,3.953762757783267,0.0
1740272716.2982588,4.618658939874747,0.0
1740272716.3315299,4.656953995935388,0.0
1740272716.3676283,2.0524112084298465,0.0
1740272716.4009235,2.354558720986429,0.0
1740272716.4375713,2.191499353424434,0.0
1740272716.4706087,1.3058426203563513,0.0
1740272716.5031376,1.6422503226744265,0.0
1740272716.5396385,1.8828156576783615,0.0
1740272716.5723367,0.6780693459469863,0.0
1740272716.6058118,0.6090079436877426,0.0
1740272716.6422405,3.361462856990297,0.0
1740272716.6751714,3.6387245856686765,0.0
1740272716.712624,2.3192003489527817,0.0
1740272716.7449896,0.9190372847043362,0.0
1740272716.777897,0.8280567648478532,0.0
1740272716.8139672,3.8153817511891064,0.0
1740272716.8477144,2.8646233070905507,0.0
1740272716.8804533,3.627890275206016,0.0
1740272716.9175265,0.6547155281460766,0.0
1740272716.9492612,3.2243518680774743,0.0
1740272716.9864733,1.136627884829029,0.0
