Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12
1743705639020203,7,2,4,12,4,2,0,3,0,2,1,4
1743705639020203,4,4,2,2,0,3,2,4,2,1,6,2
1743705639022192,7,0,3,0,4,3,3,4,0,3,3,0
1743705639022192,7,0,2,3,3,2,4,0,0,3,0,3
1743705639023206,3,0,4,1,2,0,0,2,0,4,2,4
1743705639024203,3,13,5,2,2,4,3,3,3,1,2,0
1743705639024203,7,0,0,2,3,2,0,5,3,0,4,0
1743705639025236,4,6,3,4,0,4,2,0,1,3,2,1
1743705639026193,5,0,14,2,1,4,1,3,3,0,2,3
1743705639026817,11,4,0,5,1,7,3,14,0,11,0,3
1743705639027955,9,4,4,0,4,2,4,7,4,1,3,0
1743705639029127,2,5,3,0,3,3,4,2,2,3,3,0
1743705639030127,5,0,1,3,0,1,1,1,2,2,0,0
1743705639031126,2,2,3,4,1,3,0,0,5,4,2,4
1743705639032126,6,2,4,0,2,3,2,0,5,2,16,0
1743705639032126,5,6,4,3,0,0,4,2,2,0,3,15
1743705639033125,7,3,4,5,4,1,3,3,0,4,3,0
1743705639033869,6,5,4,1,4,0,1,1,1,0,2,5
1743705639034635,4,5,2,0,0,4,3,5,1,3,5,3
1743705639035414,2,2,2,3,2,5,2,2,2,0,3,0
1743705639036423,7,3,6,3,2,1,5,3,4,2,4,2
1743705639037423,5,4,0,4,2,1,0,4,4,11,2,0
1743705639038620,2,3,4,0,3,2,3,5,2,0,4,3
1743705639038620,7,4,0,3,3,0,3,0,0,4,0,2
1743705639039674,6,10,0,4,3,0,4,0,1,0,7,4
1743705639040663,3,4,2,1,2,4,0,0,2,0,4,4
1743705639040663,7,2,1,2,1,0,2,3,4,3,2,4
1743705639041753,2,2,0,4,4,0,3,3,3,5,10,3
1743705639042872,6,4,0,4,3,0,4,2,0,1,0,3
1743705639043930,5,4,1,1,1,4,4,3,3,0,2,4
1743705639044649,7,3,4,3,5,1,3,3,2,4,0,3
1743705639045660,4,4,2,0,2,0,1,2,4,0,3,3
1743705639046672,19,1,1,1,0,2,1,2,4,0,3,0
1743705639047659,7,0,4,4,4,0,4,3,18,3,4,3
1743705639048658,7,4,3,3,0,2,0,2,0,2,3,0
1743705639049680,9,2,3,4,0,4,1,0,3,2,4,0
1743705639049680,5,17,1,0,3,20,4,2,3,0,3,4
1743705639050669,8,5,0,7,0,4,2,0,1,0,2,2
1743705639051658,8,5,1,0,4,3,6,0,5,0,4,3
1743705639051658,3,3,4,2,2,19,5,3,0,3,3,1
1743705639052922,7,3,5,4,3,0,4,3,1,3,3,0
1743705639053633,6,5,0,0,0,5,0,0,2,4,1,1
1743705639054408,6,0,0,4,4,2,1,0,4,3,4,2
1743705639055434,6,0,5,2,0,3,2,6,2,1,6,0
1743705639056430,5,0,5,1,4,0,4,3,2,4,2,5
1743705639056430,2,4,4,1,3,0,4,2,3,1,0,5
1743705639057566,6,1,6,0,8,3,2,1,10,5,1,2
1743705639058694,5,0,0,3,5,0,2,1,1,4,3,0
1743705639059680,6,0,4,0,4,1,0,0,4,3,2,4
1743705639060687,6,2,0,3,2,0,2,0,2,4,2,1
1743705639061227,8,0,5,4,2,3,2,0,2,4,2,0
1743705639062249,7,5,2,5,4,2,2,2,3,0,3,2
1743705639063268,5,0,3,0,3,2,0,0,5,2,0,2
1743705639064256,7,0,0,5,2,19,0,2,3,2,3,4
1743705639065294,3,3,4,2,0,3,2,4,4,6,4,2
1743705639065294,3,3,3,2,8,0,4,6,3,3,12,4
1743705639066297,6,0,5,1,1,3,2,0,0,1,1,0
1743705639067258,6,3,0,3,2,0,3,0,2,9,4,0
1743705639067258,5,2,3,3,2,0,2,3,1,4,3,4
1743705639068241,8,5,4,1,2,3,0,2,1,4,4,0
1743705639069242,1,3,3,3,4,3,3,0,0,4,3,0
1743705639070254,7,0,4,1,0,1,0,5,5,1,0,0
1743705639070605,3,5,2,0,4,2,1,0,3,0,1,4
1743705639071318,3,4,2,0,2,3,1,2,3,3,4,1
1743705639072343,4,0,4,2,1,4,3,3,3,3,0,2
1743705639073342,5,5,0,3,3,5,2,0,1,4,4,5
1743705639086681,2,1,0,2,5,4,4,2,15,3,4,3
1743705639099003,2,2,3,0,3,3,2,0,1,2,4,3
1743705639111000,4,1,0,4,0,4,0,4,1,4,4,0
1743705639123531,7,3,8,4,1,4,0,2,4,0,0,2
1743705639135477,7,4,1,3,4,0,1,2,3,2,0,2
1743705639147707,3,0,0,3,2,20,0,4,4,1,4,3
1743705639160581,5,0,2,0,3,5,2,0,3,5,4,3
1743705639174407,2,4,3,3,0,4,3,0,4,3,1,0
1743705639186928,7,0,3,4,2,3,0,2,2,3,0,2
1743705639198956,8,0,4,4,10,0,4,4,2,0,4,3
1743705639211921,5,0,3,3,6,2,3,3,4,0,2,5
1743705639223295,5,2,4,3,0,3,4,0,4,1,3,0
1743705639236229,3,0,0,4,3,0,0,3,2,3,4,0
1743705639248011,6,4,2,2,3,0,3,3,2,6,4,3
1743705639261190,8,5,3,1,3,1,0,4,3,0,1,10
1743705639272688,3,3,0,2,0,3,3,4,3,3,6,4
1743705639284392,5,0,0,4,3,2,2,0,0,2,3,2
1743705639296572,3,2,15,3,2,0,3,3,10,2,0,2
1743705639307618,8,3,8,3,0,5,2,13,3,3,2,0
1743705639320005,6,1,0,4,4,3,0,4,4,2,3,2
1743705639332005,0,1,0,4,1,3,0,0,1,4,3,3
1743705639344215,2,5,3,4,2,0,0,1,0,2,4,4
1743705639356632,5,6,3,2,2,0,3,7,0,4,3,1
1743705639368466,2,4,3,2,0,4,2,1,6,2,2,5
1743705639380680,2,4,2,0,3,3,0,4,1,2,2,2
1743705639392446,10,3,2,3,4,3,0,4,0,2,3,6
1743705639404244,2,0,3,2,2,1,2,2,2,3,0,4
1743705639415798,5,4,3,3,1,0,1,2,3,1,0,5
1743705639428488,2,3,2,2,3,0,5,0,0,3,3,0
1743705639442525,3,0,0,3,4,2,2,3,1,4,3,0
1743705639455685,7,0,5,2,4,2,0,2,3,1,2,2
1743705639468397,3,4,1,3,0,3,2,0,3,0,3,4
1743705639480256,6,1,3,0,2,3,1,3,1,3,0,3
1743705639493106,7,6,0,2,4,1,2,0,3,0,5,3
1743705639504696,7,5,1,6,3,2,2,0,0,2,3,3
1743705639516696,7,0,5,0,3,2,0,3,14,2,7,3
1743705639529266,8,0,2,2,4,0,0,0,4,0,0,4
1743705639542929,7,3,0,1,0,4,4,1,3,1,0,3
1743705639554361,6,2,0,4,3,0,0,4,4,5,4,3
1743705639566585,5,0,0,4,4,3,2,1,0,0,4,1
1743705639578130,8,3,0,8,2,4,3,4,2,15,2,1
1743705639591203,5,0,2,2,4,3,4,3,2,0,3,0
1743705639604111,7,2,4,0,4,8,4,1,3,7,5,0
1743705639616108,6,4,1,0,3,0,2,0,4,0,1,6
1743705639628552,4,5,3,0,0,3,4,0,3,3,0,2
1743705639643924,7,3,1,3,2,0,3,3,3,4,3,3
1743705639656261,6,3,2,0,4,3,5,0,0,1,4,2
1743705639668697,9,4,4,2,3,1,4,3,2,0,5,1
1743705639680760,4,2,0,3,2,0,4,19,5,4,3,3
1743705639692541,9,3,2,2,1,3,0,2,6,4,3,3
1743705639705404,5,0,0,2,3,5,1,6,3,0,4,0
1743705639717177,7,2,0,3,3,5,3,0,3,4,2,11
1743705639729569,6,1,3,4,0,5,3,3,4,6,6,3
1743705639741855,6,4,0,8,4,3,3,3,6,1,0,2
1743705639754818,6,3,8,1,4,2,2,0,13,4,2,14
1743705639766669,7,3,0,4,4,3,3,3,0,1,0,3
1743705639778503,8,2,0,2,0,3,6,2,2,2,2,4
1743705639792018,7,2,0,0,3,7,0,1,7,1,5,4
1743705639805896,6,1,0,3,5,3,6,0,0,5,5,3
1743705639819220,7,2,2,1,0,5,4,3,1,1,2,3
1743705639831030,6,1,0,5,4,6,0,2,3,0,0,3
1743705639843808,5,3,1,5,0,2,4,2,1,2,2,10
1743705639856234,3,0,6,4,4,4,0,2,4,4,4,0
1743705639869240,3,0,0,3,2,0,4,0,3,5,3,0
1743705639881368,8,2,5,0,4,3,3,1,4,2,3,5
1743705639893693,6,2,0,4,2,5,2,4,0,3,3,1
1743705639907230,7,3,5,4,2,0,3,3,4,1,4,21
1743705639921774,2,3,0,3,4,2,0,4,2,3,5,1
1743705639933760,6,4,3,1,0,1,0,1,3,5,2,4
1743705639945262,8,2,0,2,5,5,4,6,4,4,0,1
1743705639959107,6,4,2,2,4,1,1,1,3,1,3,4
1743705639974202,6,9,0,3,1,2,1,3,0,3,3,3
1743705639987264,7,0,4,3,0,4,1,4,0,3,2,3
1743705639999694,8,2,4,0,2,14,1,0,0,2,0,3
1743705640011382,2,3,13,2,0,0,2,0,0,2,16,4
1743705640024307,2,3,1,3,3,5,3,5,1,2,4,8
1743705640035537,8,4,1,2,4,2,10,2,3,0,5,13
1743705640048786,7,4,3,0,3,3,1,2,0,0,5,5
1743705640060597,5,4,0,5,0,3,3,2,2,0,0,0
1743705640072485,8,4,4,2,3,4,3,2,4,3,0,1
1743705640084030,0,4,2,0,2,9,1,3,1,3,2,6
1743705640096148,7,4,2,2,4,5,4,15,3,3,0,4
1743705640108329,2,2,0,4,3,0,4,4,4,2,0,2
1743705640121282,1,4,4,2,5,4,5,3,10,2,3,0
1743705640132815,6,4,0,2,0,3,1,0,5,3,2,4
1743705640145562,4,4,3,0,4,0,1,2,2,0,6,1
1743705640158780,6,0,3,1,0,4,5,2,3,0,4,17
1743705640170597,6,3,2,3,0,5,0,0,2,4,2,2
1743705640183237,11,3,0,3,3,0,2,4,0,3,0,0
1743705640195674,5,6,0,4,4,1,5,3,1,4,1,3
1743705640208739,3,4,3,0,1,10,2,3,3,5,0,1
1743705640221340,7,1,3,16,16,3,3,2,0,0,0,3
1743705640233125,5,3,0,5,0,1,0,2,0,4,2,2
1743705640245710,8,6,2,2,2,4,3,2,0,0,5,0
1743705640257635,8,4,0,1,3,0,5,2,2,5,1,1
1743705640269553,7,0,2,3,1,3,3,4,8,5,4,2
1743705640281439,7,2,4,0,0,4,0,5,0,3,4,3
1743705640293820,4,3,2,4,3,0,2,4,3,4,3,4
1743705640307002,8,3,1,0,0,3,3,2,0,4,2,4
1743705640319191,5,3,1,4,3,0,3,0,1,2,2,3
1743705640331042,7,3,0,4,0,0,4,1,2,2,1,1
1743705640342282,6,3,1,5,4,2,5,3,4,0,4,3
1743705640354879,5,1,3,2,3,2,2,19,4,1,5,2
1743705640367658,3,1,4,2,0,4,0,6,1,2,1,2
1743705640379189,13,0,4,4,7,0,3,0,3,0,5,4
1743705640391986,8,0,3,2,0,4,1,2,0,1,5,4
1743705640403681,5,1,1,2,4,3,0,1,2,9,3,10
1743705640415962,7,2,1,0,0,2,4,3,1,3,3,0
