Timestamp,FSR 1,FSR 2,FSR 3,FSR 4,FSR 5,FSR 6,FSR 7,FSR 8,FSR 9,FSR 10,FSR 11,FSR 12
1743705510253104,10,2,0,4,3,0,4,3,1,4,0,4
1743705510255102,5,0,3,3,2,3,21,1,3,3,0,0
1743705510256107,5,0,4,3,2,2,0,2,3,0,6,2
1743705510257104,9,3,2,1,2,0,3,1,2,4,0,3
1743705510259366,8,6,4,3,2,2,3,5,2,4,0,1
1743705510260545,7,0,0,1,4,3,0,4,0,2,3,0
1743705510262552,6,3,2,2,3,3,1,3,5,4,0,2
1743705510264548,6,5,2,1,3,6,3,7,2,4,4,0
1743705510266340,5,0,3,3,0,1,1,1,4,4,0,2
1743705510267580,7,0,3,2,0,4,1,3,3,3,0,2
1743705510268575,7,2,1,5,1,2,4,2,5,18,0,2
1743705510269570,4,0,4,4,4,0,2,0,0,2,3,0
1743705510271569,7,0,5,4,0,2,0,4,3,4,4,3
1743705510272571,8,0,1,1,4,3,2,0,4,2,3,0
1743705510274586,6,12,0,3,3,3,5,2,7,4,3,0
1743705510275570,7,3,0,3,6,3,15,1,2,3,4,3
1743705510277666,8,1,0,3,3,0,4,5,4,4,3,16
1743705510278954,6,5,0,4,2,3,0,3,1,3,3,2
1743705510281216,4,3,4,2,4,0,0,2,1,2,3,4
1743705510282302,6,19,4,4,4,2,0,5,2,2,0,1
1743705510283287,7,2,0,3,5,4,0,3,0,4,4,1
1743705510285289,3,0,4,0,4,1,4,0,2,0,2,4
1743705510286306,9,3,0,0,4,3,3,3,5,3,0,2
1743705510287288,7,0,0,0,2,0,2,4,14,4,21,3
1743705510288287,4,0,3,3,2,0,4,4,2,4,2,2
1743705510289289,8,0,4,3,2,4,4,0,1,4,18,1
1743705510291289,8,1,3,15,0,4,0,1,4,4,1,4
1743705510292288,8,17,0,4,5,0,0,2,1,2,4,2
1743705510293875,6,2,0,1,2,2,0,1,0,4,1,3
1743705510295291,10,4,4,0,2,3,3,4,2,3,3,0
1743705510297193,7,0,3,4,4,0,4,0,0,4,3,0
1743705510298809,8,2,0,3,3,3,3,4,3,6,4,0
1743705510299900,8,3,0,0,1,0,2,0,1,3,3,3
1743705510300900,8,5,0,5,1,1,2,0,0,3,3,0
1743705510302637,7,1,4,5,0,0,11,2,2,1,1,3
1743705510303654,6,2,0,3,3,0,4,0,3,1,4,7
1743705510304782,7,3,3,4,3,0,0,2,2,3,1,3
1743705510305798,6,3,2,0,3,2,0,3,1,3,7,2
1743705510307801,3,0,7,2,6,3,2,0,2,2,4,3
1743705510310004,7,0,4,1,4,0,3,3,3,0,4,1
1743705510311032,11,1,0,0,4,0,4,3,0,3,0,3
1743705510313030,6,3,1,0,4,0,4,4,3,4,3,4
1743705510314028,5,4,1,4,2,0,2,0,2,3,3,12
1743705510315028,5,0,2,0,0,4,0,0,1,4,4,8
